"WAR","Year","above_threshold"
-0.5,2003,FALSE
-0.5,2002,FALSE
-0.5,2001,FALSE
-0.5,2001,FALSE
-0.5,2001,FALSE
-0.6,2005,FALSE
-0.6,2004,FALSE
-0.6,2003,FALSE
-0.6,2003,FALSE
-0.6,2003,FALSE
-0.6,2001,FALSE
-0.7,2004,FALSE
-0.7,2004,FALSE
-0.7,2004,FALSE
-0.7,2004,FALSE
-0.7,2004,FALSE
-0.7,2004,FALSE
-0.7,2003,FALSE
-0.7,2003,FALSE
-0.7,2001,FALSE
-0.7,2001,FALSE
-0.8,2004,FALSE
-0.8,2004,FALSE
-0.8,2004,FALSE
-0.8,2004,FALSE
-0.9,2005,FALSE
-0.9,2004,FALSE
-0.9,2003,FALSE
-0.9,2002,FALSE
-1,2005,FALSE
-1,2004,FALSE
-1,2002,FALSE
-1,2001,FALSE
-1,2001,FALSE
-1,2001,FALSE
-1.1,2005,FALSE
-1.1,2003,FALSE
-1.1,2003,FALSE
-1.1,2002,FALSE
-1.2,2004,FALSE
-1.2,2004,FALSE
-1.2,2003,FALSE
-1.2,2002,FALSE
-1.2,2001,FALSE
-1.2,2001,FALSE
-1.4,2001,FALSE
-1.5,2004,FALSE
-1.5,2004,FALSE
-1.5,2002,FALSE
-1.7,2003,FALSE
-1.7,2001,FALSE
-2.1,2005,FALSE
-2.2,2005,FALSE
3.4,2007,TRUE
2.6,2007,TRUE
2.3,2009,TRUE
